POLAKOMITI, GLAGOL
HOMOTOPSKI, PRIDJEV
DVOKONUSNI, PRIDJEV
KATOLICITI, GLAGOL
LOKALITETI, IMENICA
IZLETAVATI, GLAGOL
ISTRLJAVŠI, PRILOG
DUGOPRSTIĆ, IMENICA
IZOBIČAJAN, PRIDJEV
SAGORIVOST, IMENICA
USTAVLJATI, GLAGOL
ČINJENIČNI, PRIDJEV
OGOVARANJE, IMENICA
SPREMLJENI, PRIDJEV
ACTAMIPRID, IMENICA
NAŽDERAVŠI, IMENICA
MAKROFLORA, IMENICA
KARDIOGRAM, IMENICA
SLAVOPOJKA, IMENICA
BEZUVJETNI, PRIDJEV
NEPROHODAN, PRIDJEV
HADEZEOVAC, IMENICA
PRIMAMLJEN, PRIDJEV
PODJELIVŠI, PRILOG
PROIRANSKI, PRIDJEV
TIROTRICIN, IMENICA
POHIĆIVATI, GLAGOL
POTHRANJEN, PRIDJEV
PLURALNOST, IMENICA
OSVJETLITI, GLAGOL
FIJAKERSKI, PRIDJEV
PELJARENJE, IMENICA
NAJMUDRIJI, PRIDJEV
IZDRŽLJIVO, PRILOG
PROIZAŠLOJ, IMENICA
KRVAVICITI, GLAGOL
DIJETETSKI, PRIDJEV
ISPRAVLJEN, PRIDJEV
DEFAZIRATI, IMENICA
KARAVANSKI, PRIDJEV
IZDAJNIČKI, PRIDJEV
PODSTICATI, GLAGOL
JEDNODOMNI, PRIDJEV
NEPOGLEDAN, IMENICA
UPLETENIJI, PRIDJEV
IZMJENJUJA, IMENICA
KOMERCIJAO, PRIDJEV
KOPROLOŠKI, PRIDJEV
RENOMIRANI, PRIDJEV
AUTOCENTAR, IMENICA
POPLOČIVŠI, PRILOG
ŠUŠLJETATI, IMENICA
ANADIPLOZA, IMENICA
METALDEHID, IMENICA
RAZMAKAVŠI, IMENICA
BUDALAŠTVO, IMENICA
SKAPAVANJA, IMENICA
IZVJEŽBATI, GLAGOL
PROLJEVATI, GLAGOL
NAMJESTIVI, PRIDJEV
ROLANDIČKI, PRIDJEV
DJETINJSKI, PRIDJEV
NADMUDRITI, GLAGOL
ENOCIJANIN, IMENICA
URGENTNOST, IMENICA
GOSTINJSKI, PRIDJEV
BLOKIRAVŠI, PRILOG
PREHRANITI, GLAGOL
ORDINACIJA, IMENICA
MJESTIMICE, IMENICA
BRONTOSAUR, IMENICA
VODONOSNIK, IMENICA
ANŽUVINSKI, PRIDJEV
RASPREDATI, GLAGOL
SONDIRAVŠI, IMENICA
HAJDUKOVAC, IMENICA
LEPRŠAJUĆI, PRILOG
DOKIDAJUĆI, PRIDJEV
KONJUKTURA, IMENICA
PRAVIČNOST, IMENICA
ISKLJUČUTI, GLAGOL
ZASAĐIVATI, GLAGOL
KREKOVANJE, IMENICA
PRITEGAVŠI, PRILOG
ŠIROKOREPI, PRIDJEV
PRAPOČETAN, PRIDJEV
KOZMETIČKI, PRIDJEV
BIJELOŽUTI, PRIDJEV
PODLAGANJE, IMENICA
IZVJESIVŠI, PRILOG
VIJETNAMKA, IMENICA
PODMUKLICA, IMENICA
BLOKIRANJE, IMENICA
PREOPREZAN, PRIDJEV
POPRIMANJE, IMENICA
POVARIVATI, GLAGOL
BIMETALIST, IMENICA
ZEMLJOTRES, IMENICA
NAGRABLJEN, PRIDJEV
SVAKONOĆNI, PRIDJEV
PRIOPĆIVŠI, PRILOG
PODVORIVŠI, PRILOG
DELEGACIJA, IMENICA
GINGIVITIS, IMENICA
INSTRUIRAN, PRIDJEV
NEPRELAZAN, PRIDJEV
SUMJERLJIV, PRIDJEV
MORFINIZAM, IMENICA
OPSJEDNUĆE, IMENICA
ZLATOTISAK, IMENICA
PACIJENTOV, PRIDJEV
ČERUPNUVŠI, PRILOG
CVJETAJUĆI, PRIDJEV
PRIJELOMAN, PRIDJEV
SKOROJEVIĆ, IMENICA
HERPETIČNI, PRIDJEV
EROTIČNOST, IMENICA
SVEMOĆNOST, IMENICA
JAMČEVNICA, IMENICA
IONIIRAJUĆ, PRIDJEV
PROSINAČKI, PRIDJEV
OMOGUĆAVAN, PRIDJEV
INSTITUCIJ, IMENICA
ZABADAJUĆI, PRILOG
ANTISIALIK, IMENICA
ZAUSTAVITI, GLAGOL
MONOPOLSKI, PRIDJEV
POKRŠTENJE, IMENICA
HARMONIKIN, IMENICA
DREMLJIVAC, IMENICA
AMERIKANKA, IMENICA
NEPOSREDNO, PRILOG
SAVITLJIVI, PRIDJEV
IŠČITAVATI, GLAGOL
PREVODNICA, IMENICA
PUNKTACIJA, IMENICA
ZAPAKOVATI, GLAGOL
SASTAVNICA, IMENICA
ISTRAŽIVŠI, PRILOG
PREDOČAVAN, PRIDJEV
MAKSIMALNI, PRIDJEV
MULATKINJA, IMENICA
INEGRIRATI, IMENICA
NAPOTREBAN, PRIDJEV
ČVORNATOST, IMENICA
UZAVRELOST, IMENICA
OTUPLJENJE, IMENICA
NEOMETANJE, IMENICA
PARADOKSAN, PRIDJEV
HAVARIRANI, PRIDJEV
BLJESKANJE, IMENICA
UZVIKIVATI, GLAGOL
VENEZUELAC, IMENICA
USKOGRUDAN, PRIDJEV
EKOLOGINJA, IMENICA
RAZBJEŠNIO, PRIDJEV
KALAFATSKI, PRIDJEV
ELEKTRIČAN, PRIDJEV
REDIGIRATI, GLAGOL
RAZVRGNUĆI, PRILOG
EVANGELIST, IMENICA
SPOMINJUĆI, PRIDJEV
DISTROFIJA, IMENICA
ISTUTNJITI, GLAGOL
NAJJEDRIJI, PRIDJEV
NAJLJENIJI, PRIDJEV
DISTONIRAN, PRIDJEV
NEAUTOGENI, PRIDJEV
SILOVALITI, GLAGOL
EVAKUACIJA, IMENICA
DIIZOOKTIL, IMENICA
ZAMJERANJE, IMENICA
PODMIĆIVAČ, IMENICA
JEROLIMSKI, PRIDJEV
KLASIČNIJI, PRIDJEV
PRIČEŠLJAN, PRIDJEV
ZGUSNUTIJI, PRIDJEV
IZVJEŠTATI, GLAGOL
SVRŠAVANJE, IMENICA
PREDOČIVAN, PRIDJEV
PREPAMETNI, PRIDJEV
SNALAZIVŠI, PRILOG
BJELOKOSNI, PRIDJEV
NEPOČINJEN, PRIDJEV
ISPOVJEDAN, PRIDJEV
SAMOŽIVIJI, PRIDJEV
MADAGASKAR, IMENICA
RUKOVODITI, GLAGOL
ZAGRABIVŠI, PRILOG
EMULZIJSKI, PRIDJEV
AKROMATSKI, PRIDJEV
UBRZAVANJE, IMENICA
ZLATNOKAPI, PRIDJEV
POLICJISKI, PRIDJEV
UBICIRANJE, IMENICA
ISCJEĐIVAČ, IMENICA
PROMETNUTI, GLAGOL
IDENTITETI, IMENICA
SLJEDIVOST, IMENICA
BILJARSTVO, IMENICA
PROVITAMIN, IMENICA
BESKAMATNI, PRIDJEV
NADRAPAVŠI, IMENICA
NARUČIVATI, GLAGOL
BUKVALNOST, IMENICA
KVARTOVSKI, PRIDJEV
KRIJEPLJEN, PRIDJEV
MAKABEJSKI, PRIDJEV
BARATAJUĆI, PRILOG
HERBALIZAM, IMENICA
NENAZNAČEN, IMENICA
RADIOOPSEG, IMENICA
KRKLJAJUĆI, GLAGOL
IZVRGAVATI, GLAGOL
VITRINITNI, PRIDJEV
NEOKULIRAN, PRIDJEV
SASLUŠAVŠI, PRILOG
NEAKTUALAN, PRIDJEV
ODJELITITI, PRIDJEV
ZAMIŠLJENI, PRIDJEV
LICEMJERAN, PRIDJEV
BAZIRAJUĆI, PRIDJEV
SLUŽBENIJI, PRIDJEV
POSLUŠAVŠI, PRILOG
SMILOVANJE, IMENICA
HIJEROGLIF, IMENICA
MATERNALAN, PRIDJEV
NIVELIRATI, GLAGOL
VIJETNAMAC, IMENICA
ZAPOMAGATI, GLAGOL
NERADOZNAO, PRIDJEV
MOTONEURON, IMENICA
PATENTIRAN, PRIDJEV
OPERATIVNI, PRIDJEV
ANIMIRAVŠI, PRILOG
VALIDIRATI, GLAGOL
DEFINIRATI, GLAGOL
CAASINIJEV, PRIDJEV
POLUBIJELI, PRIDJEV
BILJEŽNICA, IMENICA
NEZATVOREN, PRIDJEV
REISSERTOV, PRIDJEV
PRIJELAZAN, PRIDJEV
EKUMENIZAM, IMENICA
RENDGENSKI, PRIDJEV
OPSJENIVŠI, IMENICA
METALOIDAN, IMENICA
PRESENEĆEN, PRIDJEV
RAŠČINJATI, GLAGOL
PRETURIVŠI, PRILOG
NEPRONAĐEN, PRIDJEV
HEMOGLOBIN, IMENICA
BLEFIRANJE, IMENICA
NERAZLUČIV, PRIDJEV
RAZORIVOST, IMENICA
FRENETIČAN, PRIDJEV
ACKERMANOV, PRIDJEV
ABROGACIJA, IMENICA
GRADIRAVŠI, PRILOG
NAKLJUKATI, GLAGOL
BEZDODIRNI, PRIDJEV
AGNOSTIČKI, PRIDJEV
OSNAŽENIJI, PRIDJEV
MEĐUOVISAN, PRIDJEV
SINGULARAN, PRIDJEV
DOSTATNOST, IMENICA
IZNAJMIVŠI, PRILOG
PLANIČNICA, IMENICA
TROBROJITI, GLAGOL
PALINOMORF, IMENICA
PAUČINASTO, IMENICA
POOPĆIVATI, GLAGOL
MODRULJICA, IMENICA
MODERACIJA, IMENICA
ZAGRIZAVŠI, PRILOG
REMETITELJ, IMENICA
PREPOZNATI, GLAGOL
CRVENOVRAT, PRIDJEV
DALTONIZAM, IMENICA
KREVELJEĆI, PRILOG
HEKTOLITAR, IMENICA
PREPOTPUNI, PRIDJEV
KAMALENGON, IMENICA
LAPLASIJAN, IMENICA
ESTIMACIJA, IMENICA
HORIZONTAL, IMENICA
IŠIJATIČAN, IMENICA
NAKANILITI, GLAGOL
POKORNIČKI, PRIDJEV
RELIZACIJA, IMENICA
IZOMETRIJA, IMENICA
UZBURKAVŠI, PRILOG
TRESKOVINA, IMENICA
OBAZRIJETI, GLAGOL
PLAVOKRVAN, PRIDJEV
MARKIRAVŠI, PRILOG
DUBLIRANJE, IMENICA
EUROPSKIJI, PRIDJEV
ZAMAŠKARAN, PRIDJEV
CRVENOSMEĐ, PRIDJEV
PRETKAZATI, GLAGOL
BAULJAJUĆI, PRILOG
PREDOZIRAN, PRIDJEV
DRAŠKAJUĆI, PRILOG
STOVARIŠNI, PRIDJEV
OSLUHIVATI, GLAGOL
ZAJMODAVAC, IMENICA
ZAPREMANJE, IMENICA
PRIPRAVITI, GLAGOL
ILUMINATOR, IMENICA
PLIJENIVŠI, PRILOG
DESPERATAN, PRIDJEV
ODSUKOVATI, GLAGOL
ANABOLIČKI, PRIDJEV
RASPLODIJA, IMENICA
DIJAGRAMAN, PRIDJEV
POLIANALIN, IMENICA
STALJINSKI, PRIDJEV
NAZUPČENJE, IMENICA
STOPIRANJE, IMENICA
IZMISLIVŠI, PRILOG
UČVRŠČIVAČ, IMENICA
PREGRMJETI, GLAGOL
PROMOTIVAN, PRIDJEV
IZLAGATELJ, IMENICA
AKROBACIJA, IMENICA
PREBANALAN, PRIDJEV
KLJUCAJUĆI, GLAGOL
KONTRAKTOR, IMENICA
VENECIJSKI, PRIDJEV
RAZBJEŽATI, GLAGOL
DUBROVNIKA, IMENICA
NESAVIJENI, PRIDJEV
PERCIPIRAN, PRIDJEV
ANTITOKSIN, IMENICA
METAFORIKA, IMENICA
ZACIJEVITI, GLAGOL
KERATOFIRI, IMENICA
PODSLABINA, IMENICA
DEPOSESIJA, IMENICA
PODSTAVITI, GLAGOL
UDROBLJENI, PRIDJEV
PRETVORICA, IMENICA
PREDSIGNAL, IMENICA
ZAOKRENUĆE, IMENICA
REKLAMIRAN, PRIDJEV
PREKRETATI, GLAGOL
ZLOČESTICA, IMENICA
EMULGACIJA, IMENICA
SJEMENOVOD, IMENICA
SMJEŠKANJE, IMENICA
POKLONSTVO, IMENICA
UOBIČAJENA, IMENICA
LJUŠTILICA, IMENICA
PIMETROZIN, IMENICA
KIKIRIKIJI, PRIDJEV
REPUBLIČKI, PRIDJEV
IZREZUCKAN, PRIDJEV
SLOVAKINJA, IMENICA
OBDARIVATI, GLAGOL
CEDIRAJUĆI, PRILOG
ZALJUBLJEN, PRIDJEV
PODVIKIVAN, PRIDJEV
PODGRADNJA, IMENICA
DOZRIJEVAN, PRIDJEV
FIBRILIRAN, PRIDJEV
KAROTENOID, IMENICA
KOMFORNOST, IMENICA
OMRZNUTOST, IMENICA
KANABINOID, IMENICA
TRUCKAJUĆI, GLAGOL
DEFRAUDANT, IMENICA
SPREMAČICA, IMENICA
POMIŠLJATI, GLAGOL
ZAHTJEVATI, GLAGOL
KOTLARNICA, IMENICA
USAĐIVANJE, IMENICA
GRAFOLOŠKI, PRIDJEV
PODSJEĆATI, GLAGOL
JAMAJKANKA, IMENICA
STRANKINJA, IMENICA
NENAPUNJEN, IMENICA
VARIOMETAR, IMENICA
DEBELJKAST, PRIDJEV
NAGNOJIVŠI, PRILOG
EGZOTERMAN, PRIDJEV
NAJČULNIJI, PRIDJEV
MREŽASTOST, IMENICA
POSREDNOST, IMENICA
DISPOZITIV, IMENICA
ISTODOBNIK, IMENICA
UTAŽIVANJE, IMENICA
BESMISLICA, IMENICA
RASTROJENI, PRIDJEV
MATIČARSKI, PRIDJEV
HIPERPLOHA, IMENICA
ZAKAVKASKI, PRIDJEV
KARLOVAČKI, PRIDJEV
TRAHEJALNI, PRIDJEV
NEIZBROJIV, PRIDJEV
PROZBORITI, GLAGOL
PONAVLJANO, PRILOG
DIFRAKCIJA, IMENICA
NEPRESAĐEN, PRIDJEV
SVELJUDSKI, PRIDJEV
EMIGRIRATI, GLAGOL
OPROBANOST, IMENICA
OCIJENIVŠI, PRILOG
UČITELJSKI, PRIDJEV
RAZNORODNI, PRIDJEV
ŠMAJHLANJE, IMENICA
GONETAJUĆI, GLAGOL
PREDOBRADA, IMENICA
BRATIMLJEN, PRIDJEV
OVLAŽIVATI, GLAGOL
MAGDALENIN, PRIDJEV
PREKOPAVŠI, PRILOG
NEŽIGOSANI, PRIDJEV
MANJKAJUĆI, GLAGOL
KRIVOCRTNI, PRIDJEV
KAVITACIJA, IMENICA
INDICIRANI, PRIDJEV
NADRILIJEK, IMENICA
HLAPIČINKA, IMENICA
RUSTIČNIJI, PRIDJEV
OPRAŠIVATI, GLAGOL
PRISTALOST, IMENICA
TENZOMETAR, IMENICA
PJESKOVITI, PRIDJEV
IZOBUTILEN, IMENICA
NJEGOVANJE, IMENICA
ZANAVLJATI, IMENICA
POVRAĆANJE, IMENICA
BELGIJANKA, IMENICA
UVREDITELJ, IMENICA
EKLATANTAN, PRIDJEV
PRITISNUTI, GLAGOL
SVADLJIVAC, IMENICA
MEMORIJSKI, PRIDJEV
FOTOAMATER, IMENICA
OPLOĐIVATI, GLAGOL
APOZITIVAN, PRIDJEV
PODMITLJIV, PRIDJEV
BESPILOTAN, PRIDJEV
DOPREMLJEN, PRIDJEV
PREGOVORAN, PRIDJEV
PRECIZNIJE, PRILOG
SAMOKRETAN, PRIDJEV
ISKORISTIV, PRIDJEV
DIELEKTRIK, IMENICA
LIBERAJSKI, PRIDJEV
NEIZREČENO, PRILOG
POZICIJSKI, PRIDJEV
PREGORJETI, GLAGOL
OVLAŠTENIK, IMENICA
DVOGLASNIK, IMENICA
KOMEDIJATI, IMENICA
JAKOVLJICA, IMENICA
SJEVERNJAK, IMENICA
HIPOGAMIJA, IMENICA
RESORBIRAN, PRIDJEV
PLAGIJATOR, IMENICA
NASTUPANJE, IMENICA
MEĐUZONSKI, PRIDJEV
SISTOLIČKI, PRIDJEV
KOTIZACIJA, IMENICA
TURISTIČKI, PRIDJEV
RECEPTIVAN, PRIDJEV
NAOBLAČENO, PRILOG
RAZVALJATI, GLAGOL
APOSTOLSKI, PRIDJEV
PROBIJANJE, IMENICA
BIOSTATIKA, IMENICA
ĆURLIKANJE, IMENICA
NEIZMJERNO, PRILOG
ZAUZIMANJE, IMENICA
IZMJENIČNI, PRIDJEV
EKSPLOZIJA, IMENICA
PROZIRNIJI, PRIDJEV
SAMORASTAO, PRIDJEV
ZAJAMČIVŠI, PRILOG
RAZVEZANJE, IMENICA
NEDOSANJAN, PRIDJEV
KONZULARAN, PRIDJEV
NAJZORNIJI, PRIDJEV
KOŠARICITI, GLAGOL
PUSTOPAŠNI, PRIDJEV
STREMENICA, IMENICA
DŽAJKOVSKI, PRIDJEV
ZAPAMTIVŠI, PRILOG
MODERNIZAM, IMENICA
ODMORENIJI, PRIDJEV
KADMIRANJE, IMENICA
BRAHMANSKI, PRIDJEV
SKOPOLAMIN, IMENICA
BILIVERDIN, IMENICA
KOROLOGIJA, IMENICA
NATEGNUVŠI, PRILOG
ZLOSTAVITI, GLAGOL
SLABLJENJE, IMENICA
IMUNITETAN, PRIDJEV
PODVALJENO, PRILOG
GALILEIJEV, PRIDJEV
SJECKALICA, IMENICA
NEZVANIČAN, PRIDJEV
OSCILACIJE, IMENICA
KOLJENČAST, PRIDJEV
PRIBIJANJE, IMENICA
ISKUPITELJ, IMENICA
KOLAŽIRATI, IMENICA
NEPREMAZAN, PRIDJEV
ODVAJAJUĆI, PRIDJEV
HRUSKAVIJI, PRIDJEV
ACIDOBAZNI, PRIDJEV
DVOMOTORAC, IMENICA
ZDRUŽIVOST, IMENICA
ZABRAVLJEN, PRIDJEV
INDUKACIJA, IMENICA
UGLAZBLJEN, PRIDJEV
RAZVUKAVŠI, PRILOG
PATRICIJKA, IMENICA
NEPRESTANO, PRILOG
POTKAPANJE, IMENICA
PROLIVANJE, IMENICA
DVOJNICITI, GLAGOL
UDVARAJUĆI, PRILOG
NAPRAVLJEN, PRIDJEV
KUPUSNJAČA, IMENICA
PODLAKTICA, IMENICA
VLADALAČKI, PRIDJEV
POTURIVATI, GLAGOL
OTPUHIVATI, GLAGOL
UGAĐIVANJE, IMENICA
ZALUĐENOST, IMENICA
RAZNIJEVŠI, PRILOG
SESVEĆANKA, IMENICA
RAZMEKŠATI, GLAGOL
ODALEČIVAN, PRIDJEV
UTUŽIVANJE, IMENICA
PRESVETITI, PRIDJEV
PETLJARIJA, IMENICA
BLIJEDJETI, GLAGOL
STAVLJENIĆ, IMENICA
TUNELIRATI, IMENICA
AKVILEJSKI, PRIDJEV
RASPODJELU, IMENICA
ZANAGIBNIK, IMENICA
KLIJENTICA, IMENICA
DVOSVEŠČAN, PRIDJEV
KARLOVAČKI, PRIDJEV
PROBRANIJI, PRIDJEV
PRIMJEŠATI, IMENICA
BALATONSKI, PRIDJEV
RAKETNJAČA, IMENICA
ČETVRTANJE, IMENICA
DOKUMENTNI, PRIDJEV
IZLUČUJUĆI, PRILOG
APSURDNOST, IMENICA
KOMASACIJI, PRIDJEV
RAZROVAVŠI, PRILOG
DOKUČIVOST, IMENICA
NEGLEDANJE, IMENICA
KLASTERVER, IMENICA
ZAPANJIVŠI, PRILOG
DOZIDAVATI, GLAGOL
PSIHOTIČKI, PRIDJEV
ADOPTIRATI, GLAGOL
GNEMONOVAC, IMENICA
NESTOPLJEN, PRIDJEV
SMOTRENOST, IMENICA
VLASTELICA, IMENICA
USPOREDITI, GLAGOL
ZAGLADIVŠI, PRILOG
DOPAMINSKI, PRIDJEV
PARCELIRAN, PRIDJEV
VORARLBERG, PRIDJEV
LAMENTIRAN, PRIDJEV
BUDISTIČKI, PRIDJEV
PRITJECATI, GLAGOL
GIGANTIZAM, IMENICA
BIJEKTIVNI, PRIDJEV
PREPUNIVŠI, IMENICA
OLISTOLITI, IMENICA
ANTIDOTSKI, PRIDJEV
UOŠTRAVATI, IMENICA
SLIJEĐENJE, IMENICA
JERIHONSKI, PRIDJEV
USHIĆUJUĆI, PRIDJEV
KRAJOLICOJ, IMENICA
PROVLAČITI, GLAGOL
VANBRODSKI, PRIDJEV
CIGROVEČKI, PRIDJEV
HAMLETIZAM, IMENICA
NEREDOVITO, IMENICA
NAVEČERATI, GLAGOL
RASKLIMATI, GLAGOL
PREKLAPATI, GLAGOL
PROBDJEVŠI, PRILOG
STEPENASTI, GLAGOL
ZALAGATELJ, IMENICA
EURIZIRATI, IMENICA
VALENTNOST, IMENICA
MOLIBDATAN, PRIDJEV
METAKRIFOS, IMENICA
ISKLIZNUTI, PRIDJEV
NERUŽIČAST, PRIDJEV
USREDIŠTEN, PRIDJEV
TOPOLOGIJA, IMENICA
FARMAKOFOR, IMENICA
POSTUPANJA, IMENICA
MIGRANTSKI, PRIDJEV
VRPOLJENJE, IMENICA
ELEKTRIČAR, IMENICA
LIBERIJSKI, PRIDJEV
ŽMIRKAJUĆI, PRIDJEV
PODMITIVŠI, PRILOG
POREMEĆENI, PRIDJEV
MONOMANIJA, IMENICA
PLAGIRAVŠI, IMENICA
ZJAPLJENJE, IMENICA
NEDOGRAĐEN, PRIDJEV
NESPAVANJE, IMENICA
KLOBUČNICA, IMENICA
PUNOLJETAN, PRIDJEV
RAZONODITI, GLAGOL
USHIĆENOST, IMENICA
NEODLUČIVI, PRIDJEV
IZUČAVANJE, IMENICA
JEDNOBITAN, PRIDJEV
HVASTAJUĆI, GLAGOL
ČINOVNIČIĆ, IMENICA
TOKARILICA, IMENICA
NESJAJNOST, IMENICA
ŠTAVIONICA, IMENICA
ZASKOČIVŠI, PRILOG
BJELILJITI, GLAGOL
TRAMPLJENI, PRIDJEV
PTIJALIZAM, IMENICA
SVILARSTVO, IMENICA
PREVRTANJE, IMENICA
HISPANIČKI, PRIDJEV
ODJELITELJ, IMENICA
NAČINJANJE, IMENICA
ZVIŽDUKAVI, PRIDJEV
DOGLASIVŠI, PRILOG
PREPONJAČA, IMENICA
SKUPLJAVŠI, PRILOG
NESUZDRŽAN, PRIDJEV
ZBRAJAJUĆI, PRIDJEV
PNEUMATIKA, IMENICA
NEMAŠTOVIT, PRIDJEV
ČAVRLJANJE, IMENICA
EGZOTERMNI, PRIDJEV
DOTISKAVŠI, PRILOG
FAŠIZIRATI, IMENICA
NAPINJANJE, IMENICA
AMINOKETON, IMENICA
NALICKAVŠI, PRILOG
POSOLJENJE, IMENICA
PREKIPJETI, GLAGOL
PIJANČEVAN, PRIDJEV
IZOLACIONI, PRIDJEV
MNOGOČLANI, PRIDJEV
ŠPEKULANJE, IMENICA
IZVRGNUVŠI, PRILOG
ARTILJERAC, IMENICA
ZAGLIBIVŠI, PRILOG
REGRUTIRAN, PRIDJEV
ČOVJEČNIJI, PRIDJEV
SMANJIVATI, GLAGOL
BESAVJESNI, PRIDJEV
FLERTUJUĆI, PRILOG
DEŽMEKASTO, PRILOG
ATEISTIČKI, PRIDJEV
IZMETINSKI, PRIDJEV
ALARMIRANI, PRIDJEV
ZAJECOVSKI, PRIDJEV
NEUMITNIJI, PRIDJEV
NAMLATIVŠI, PRILOG
DISPARITET, IMENICA
IŠČAHURITI, IMENICA
BEZAFIBRAT, IMENICA
RAZJASNITI, GLAGOL
SAMOSTANCA, IMENICA
UGROŽENOST, IMENICA
PRENEMAŽEJ, IMENICA
ISKLIZNUĆE, IMENICA
MANIFESTNI, PRIDJEV
CRVLJIVIJI, PRIDJEV
STRUGOTINA, IMENICA
DOSTIGAVŠI, PRILOG
KINEZIOLOG, IMENICA
STIPENDIJA, IMENICA
ŠESTOSATNI, PRIDJEV
POSTOVANJE, IMENICA
SAŽIMAJUĆI, PRILOG
OSUJEĆENJE, IMENICA
OGRUBLJENI, PRIDJEV
ODSTUPLJEN, PRIDJEV
KORZIKANKA, IMENICA
PRIMJERITI, GLAGOL
GONDOLIJER, IMENICA
NATRAPAVŠI, PRILOG
AKTUALNOST, IMENICA
NEPODNESEN, PRIDJEV
ŠTEDIONICA, IMENICA
PROČIŠĆENI, PRIDJEV
KRALJEVATI, GLAGOL
GLEIZACIJA, IMENICA
PRIŽMIRITI, GLAGOL
DVOSMJERAN, PRIDJEV
UPOTPUNITI, GLAGOL
RASPRŠENJE, IMENICA
IZRANJAJUĆ, PRIDJEV
BISTRICITI, GLAGOL
UDEBLJAVŠI, PRILOG
LIJEPLJENI, PRIDJEV
TRIATLONAC, IMENICA
OBREMENITI, IMENICA
EMITIRANJE, IMENICA
DOMJENCITI, GLAGOL
ODBIDBENIK, IMENICA
DESORPCIJA, IMENICA
INSEKTARIJ, IMENICA
STEPOVANJE, IMENICA
OKOŠTALOST, IMENICA
POLITURITI, GLAGOL
VIRULENTNI, PRIDJEV
ROMANESKNI, PRIDJEV
ISPUHAVATI, IMENICA
SNALAŽLJIV, PRIDJEV
NAPUTOVATI, GLAGOL
POISKAKATI, GLAGOL
ZASTARJETI, GLAGOL
TAPECIRATI, GLAGOL
DOKAZUJUĆI, PRILOG
ŠIBENČANKA, IMENICA
KAMENITIJI, PRIDJEV
BATERIJSKI, PRIDJEV
NOVATORSKI, PRIDJEV
OGREBOTINA, IMENICA
FAGOCITOZA, IMENICA
NENADMAŠEN, PRIDJEV
KINOMETANI, IMENICA
NESLAGANJE, IMENICA
LITANIJSKI, PRIDJEV
INKUBIRATI, IMENICA
USHIĆENIJI, PRIDJEV
BJELORUSKI, PRIDJEV
RAZMAZANJE, IMENICA
ODOLJIVOST, IMENICA
REZIMIRATI, GLAGOL
UPEČATLJIV, PRIDJEV
POMAHNITAO, PRIDJEV
HIPEROKSIJ, IMENICA
PREMUNITET, IMENICA
GRADUACIJA, IMENICA
AMNESTIRAN, PRIDJEV
KRAMPAJUĆI, GLAGOL
PRESAVIVŠI, PRILOG
NADIJEVATI, GLAGOL
DUBRAVAČKI, PRIDJEV
AKVIZICIJA, IMENICA
RAZUMLJIVO, PRILOG
NATKONOBAR, IMENICA
HAFJELLSKI, PRIDJEV
PRAVOPISTI, GLAGOL
JEČMENJAČA, IMENICA
EVOLVENTNI, PRIDJEV
ZAKRALJITI, GLAGOL
