MASAŽITI, GLAGOL
NATURATI, GLAGOL
IDEALIST, IMENICA
KRIZOTIL, IMENICA
PROTUKUT, PRIDJEV
STATIČKI, PRIDJEV
RIKECIJA, IMENICA
UTJEČUĆI, PRIDJEV
BOGOVSKI, PRIDJEV
NAGLAVAC, IMENICA
ARHITRAV, IMENICA
STEČAJNI, PRIDJEV
SIJETITI, GLAGOL
VEČERITI, GLAGOL
IZGLODAN, PRIDJEV
POMIRITI, GLAGOL
ZATISNIK, IMENICA
BJELODAN, PRIDJEV
PRUGASTO, PRILOG
PORINSKI, PRIDJEV
DVORANKA, IMENICA
POSVOJEN, PRIDJEV
KOZINSKI, PRIDJEV
METKOVIĆ, IMENICA
RADENSKI, PRIDJEV
OTEKNUTI, GLAGOL
VRVJENJE, IMENICA
OTIMAČKI, IMENICA
KOLEGICA, IMENICA
JAREBICA, IMENICA
LATINIST, IMENICA
ZOKSAMID, IMENICA
OBUJAMNI, PRIDJEV
PODEŠENI, PRIDJEV
STRUJATI, GLAGOL
IZBIJATI, GLAGOL
GRIŽENJE, IMENICA
EUROZONA, IMENICA
TROŽILNI, PRIDJEV
IGNORANT, IMENICA
ISPUŠITI, GLAGOL
NESTEČEN, PRIDJEV
KORIŠTEN, PRIDJEV
PODSUSED, IMENICA
UMORENJE, IMENICA
VEDENSKI, PRIDJEV
ŠAPNUVŠI, PRILOG
UKOBNOST, IMENICA
KRVOPIJI, PRIDJEV
PIBERNIK, IMENICA
KEMIJATI, IMENICA
DISKETNI, PRIDJEV
NEUBRZAN, PRIDJEV
ZAVIJATI, GLAGOL
IZMORITI, GLAGOL
ZABRAĐEN, PRIDJEV
DVORCITI, GLAGOL
PREZIREJ, IMENICA
POMRAČEN, PRIDJEV
DILERSKI, PRIDJEV
DVOPOLNI, PRIDJEV
CIJENEĆI, PRILOG
DOSELITI, GLAGOL
DUNAVSKI, PRIDJEV
ODLAMATI, GLAGOL
STRELAST, PRIDJEV
ZABOLITI, GLAGOL
PRONIJEV, PRIDJEV
UDAHNUĆE, IMENICA
PRIGORAC, IMENICA
NULOVATI, IMENICA
PASOGLAV, PRIDJEV
PROFITAN, PRIDJEV
NALICKAN, PRIDJEV
POČEŠITI, GLAGOL
RUSTIČAN, PRIDJEV
ISTRANIN, IMENICA
GURAVATI, GLAGOL
JABUKICA, IMENICA
KRAVIČIN, PRIDJEV
VILENJAK, IMENICA
ČAŠĆENJE, IMENICA
LJUSKICA, IMENICA
PODRESOR, IMENICA
SUŠINSKI, PRIDJEV
GLICEROL, IMENICA
ODLANUTI, GLAGOL
ŽELATINA, IMENICA
INTERVJU, IMENICA
ZAKVAČEN, PRIDJEV
BRATULIĆ, IMENICA
OPTAKATI, GLAGOL
ZAMORČAD, IMENICA
VODOPIJA, IMENICA
POJAVIJI, PRIDJEV
UPORIŠTE, IMENICA
DITIRAMB, IMENICA
BEZVODAN, PRIDJEV
PLOČANIN, IMENICA
KRUNISAN, PRIDJEV
MJEŠANAC, IMENICA
IZABRANI, PRIDJEV
POKOLJNI, PRIDJEV
ZUMIRATI, GLAGOL
STOŽERNI, PRIDJEV
STATIČAR, IMENICA
HARTMANN, IMENICA
GLEDANJE, IMENICA
BABAROGA, IMENICA
SULEJMAN, IMENICA
ASIŠKOGA, PRIDJEV
PODIZATI, GLAGOL
PAPRENIK, IMENICA
GRGOTATI, GLAGOL
PODROBAN, PRIDJEV
GENETSKI, PRIDJEV
JENNIFER, IMENICA
DOMOVINA, IMENICA
FEUDALNI, PRIDJEV
POVIKATI, GLAGOL
NIKOLAUS, IMENICA
UPREGNUT, PRIDJEV
TJESNIJI, PRIDJEV
BOKSAČKI, PRIDJEV
IZGRTATI, GLAGOL
PODVEDEN, PRIDJEV
USPRAVNO, PRILOG
MIRODIJE, IMENICA
BIJELOST, IMENICA
REIZDATI, IMENICA
RAKUNICA, IMENICA
VINODOLA, IMENICA
FEUDALNO, PRILOG
REKVIJEM, IMENICA
ZAVEZATI, GLAGOL
ODVRĆUĆI, IMENICA
LOPTASTI, GLAGOL
SEDMIČAN, PRIDJEV
ULIZIČKI, PRIDJEV
DANIJELA, IMENICA
HIPERNIZ, IMENICA
DESERTNI, PRIDJEV
STUBIČKI, PRIDJEV
DNEVNICA, IMENICA
BRATSTVA, IMENICA
IMATELJI, PRIDJEV
VITEŠTVO, IMENICA
GRADIĆKI, PRIDJEV
ARGUMENT, IMENICA
KORONINI, PRIDJEV
LJILJANA, IMENICA
OZEBANJE, IMENICA
OMAGLICA, IMENICA
MARTINJA, IMENICA
PRETERIT, IMENICA
NAMAČUĆI, PRILOG
DIJAKRON, PRIDJEV
ETOLOŠKI, PRIDJEV
HODOGRAF, IMENICA
NUKAJUĆI, PRILOG
POKOŽICA, IMENICA
ZATULITI, GLAGOL
PRIDODAN, PRIDJEV
POUČNIJI, PRIDJEV
JUDITINA, IMENICA
IKRIVITI, GLAGOL
FIJUKATI, GLAGOL
KERAMIKE, IMENICA
METKOVAC, IMENICA
KRCATOST, IMENICA
VIKTOROV, PRIDJEV
UPAMTITI, GLAGOL
NAGRIZEN, PRIDJEV
DOMOBRAN, IMENICA
MONUMENT, IMENICA
BIKOVSKI, PRIDJEV
OSMANSKI, PRIDJEV
BRAKIČNI, PRIDJEV
LIMENOST, IMENICA
PODVOĐEN, PRIDJEV
SAMARICA, IMENICA
SKRAĆENI, PRIDJEV
SUVRATAN, IMENICA
IRIZIRAN, PRIDJEV
KLAĐENJE, IMENICA
ISPRŽITI, GLAGOL
AMFIBIJA, IMENICA
ZAMJETNO, PRILOG
GRAMZITI, GLAGOL
BJESNIJI, PRIDJEV
PUŠLJINA, IMENICA
FILISTAR, IMENICA
UDRUŽUTI, GLAGOL
PLANETNI, PRIDJEV
BESPOLAN, PRIDJEV
ISITNITI, GLAGOL
OLAKŠANI, PRIDJEV
KOVITLAC, IMENICA
PORTFELJ, IMENICA
PASTRVKA, IMENICA
BURZITIS, IMENICA
ČETVRTAČ, IMENICA
ZGRABITI, GLAGOL
NUBIJSKI, PRIDJEV
JELENSKI, PRIDJEV
HEBRAIST, IMENICA
HELIJSKI, PRIDJEV
MASLAČNI, PRIDJEV
ISTESATI, GLAGOL
OKRETATI, GLAGOL
ISTRČATI, GLAGOL
DRAŽAČKI, PRIDJEV
KOMENSKI, PRIDJEV
PODVINUT, PRIDJEV
OLIČAVAN, PRIDJEV
CIKONIJA, IMENICA
DUBENSKI, PRIDJEV
POBRISTI, GLAGOL
ŠTETOVNI, PRIDJEV
LICKANJE, IMENICA
LEĐOBRAN, IMENICA
PODVODNI, PRIDJEV
PREKUPAC, IMENICA
MUCAJUĆI, PRIDJEV
MIRODIJA, IMENICA
JAHAČICA, IMENICA
DOBIVENI, PRIDJEV
SPUŽVICA, IMENICA
PLUČNJAK, IMENICA
PARANTOV, PRIDJEV
VODOPADI, IMENICA
NIKOPOLJ, IMENICA
FRAZIRAN, PRIDJEV
ZAMOLBEN, PRIDJEV
AKADEMKA, IMENICA
BEZDUŠNO, PRILOG
STIHOVNI, PRIDJEV
NAČETOST, IMENICA
GARANTAN, PRIDJEV
JAUKANJE, IMENICA
DOTURATI, GLAGOL
KUBATURA, IMENICA
JAHTAŠKI, PRIDJEV
PORUŠITI, GLAGOL
GUMIRATI, GLAGOL
PODBANOV, PRIDJEV
NAPIPATI, GLAGOL
IDIOTSKI, PRIDJEV
RAZVIDNO, PRILOG
SAVINUTI, GLAGOL
VOKACIJA, IMENICA
NEMOGUĆI, PRIDJEV
KOZERIJA, IMENICA
MEZENHIM, IMENICA
NAZIVNIK, IMENICA
BIŠEVSKI, PRIDJEV
BEZVUČAN, PRIDJEV
PODUČITI, GLAGOL
PRODEKAN, IMENICA
TRZNUVŠI, PRILOG
UMAKANJE, IMENICA
ASFALTER, IMENICA
IZMRVITI, GLAGOL
ZABADALO, IMENICA
MRAVINJA, IMENICA
BEDARIJA, IMENICA
ZONIRATI, IMENICA
VELEUMNI, PRIDJEV
DIAMIDIN, IMENICA
POVAĐENI, PRIDJEV
KATARAKT, IMENICA
GOSTIONI, PRIDJEV
NADRASTI, GLAGOL
MILIJUNT, IMENICA
HRVATICA, IMENICA
VAPIJUĆI, PRIDJEV
KAUZALNI, PRIDJEV
POŠILJAČ, IMENICA
NESPUTAN, PRIDJEV
RIEGEROV, PRIDJEV
POVIJATI, GLAGOL
SLIČNIJI, PRIDJEV
ITINERAR, IMENICA
PREZIRNO, PRILOG
LAKTOZNI, PRIDJEV
IZVEDENI, PRIDJEV
SNOBIZAM, IMENICA
CARNOTOV, PRIDJEV
BUNODONT, IMENICA
SEDLAŠCE, IMENICA
VRTOGLAV, PRIDJEV
RAZLIVŠI, PRILOG
ZAPLESTI, GLAGOL
POTAJNIK, IMENICA
CIJEPEĆI, PRILOG
PRIGORKA, IMENICA
UMIRANJE, IMENICA
UZORAČKI, PRIDJEV
BROŠIRAN, PRIDJEV
UDARANJE, IMENICA
GOSPOĐIN, PRIDJEV
FOTOSTAT, IMENICA
ZAPRLJAN, PRIDJEV
DERANSKI, PRIDJEV
ERICHSEN, IMENICA
OSUPNUTI, GLAGOL
RILONOSI, PRIDJEV
SPORTSKI, PRIDJEV
CAPRIATI, GLAGOL
ŠEKEMSKI, PRIDJEV
ZAMARATI, GLAGOL
ZARAĐENI, PRIDJEV
ZBILJSKI, PRIDJEV
URANJATI, GLAGOL
POVODITI, GLAGOL
UŠTROJEN, PRIDJEV
REZALITI, GLAGOL
STARIČIN, PRIDJEV
LOPANDIĆ, IMENICA
PREOŠTAR, PRIDJEV
IZUZETNO, PRILOG
MEHARDŽA, IMENICA
LASTIKIN, PRIDJEV
PLANINKA, IMENICA
USEKNUTI, GLAGOL
PORAVNAN, PRIDJEV
ŽALOSTIV, PRIDJEV
NATEGNUT, PRIDJEV
SIMPLEKS, IMENICA
KOLUMBOV, PRIDJEV
SILNIKOV, PRIDJEV
PRETOČNI, PRIDJEV
LOTOSITI, GLAGOL
DIKTATOR, IMENICA
OBZIDANI, PRIDJEV
UKOČENJE, IMENICA
OBRTANJE, IMENICA
ODVLAČEN, PRIDJEV
LJESKATI, GLAGOL
DJETEŠCE, IMENICA
SVIJESNI, PRIDJEV
GLADILAC, IMENICA
LJEKARIJ, IMENICA
LASTOVAC, IMENICA
EDOMETAR, IMENICA
NANESENI, PRIDJEV
VRBENSKI, PRIDJEV
KRIZMANI, PRIDJEV
ŠKOLSTVO, IMENICA
ASIGNANT, IMENICA
KOVRČITI, GLAGOL
ELEVATOR, IMENICA
OPTUŽENI, PRIDJEV
PRIDIGAO, PRIDJEV
SAŠIJELO, IMENICA
OBIČAJAN, PRIDJEV
AKTIVIST, IMENICA
BABINJAK, IMENICA
NACERITI, GLAGOL
LIPSANJE, IMENICA
SNJEŽANA, IMENICA
DIPIRINI, IMENICA
NEKOLIKI, PRIDJEV
URUDŽBEN, PRIDJEV
PACIJENT, IMENICA
ISKOPANI, PRIDJEV
SLATKAST, PRIDJEV
HVARANIN, IMENICA
SINJANIN, IMENICA
TOKSIČKI, PRIDJEV
NAKUHATI, GLAGOL
REPUBLIK, PRIDJEV
KONZULAT, IMENICA
RASPAREN, PRIDJEV
MEDALJAŠ, IMENICA
KIRIBATI, IMENICA
RAZMNOŽI, PRIDJEV
OTPRAĆAN, PRIDJEV
POVRATAK, IMENICA
AURIKULA, IMENICA
PRIČICOJ, IMENICA
UVERTIRA, IMENICA
KRKLJATI, GLAGOL
ANDROGIN, IMENICA
CJEPNUTI, GLAGOL
ODVALJEN, PRIDJEV
UREĐIVAN, PRIDJEV
OBEĆAVAN, PRIDJEV
KROTKOST, IMENICA
OBRAMBEN, PRIDJEV
NASRKATI, GLAGOL
ROPTANJE, IMENICA
KLETJETI, GLAGOL
POSVOJNI, PRIDJEV
KONEKTOR, IMENICA
PRAMAJKA, IMENICA
KONJANIK, IMENICA
TELJENJE, IMENICA
IZABRATI, GLAGOL
ORBITALA, IMENICA
UKRIŽENI, PRIDJEV
NESPOLAN, PRIDJEV
DOBUJUĆI, PRILOG
PRELIJEP, PRIDJEV
PRIMIJET, PRIDJEV
PUSTOLOV, IMENICA
POKLAPAN, PRIDJEV
ELEMENTU, IMENICA
POJMOVNI, PRIDJEV
VRZMANJE, IMENICA
METVULJA, IMENICA
KONZERVA, IMENICA
ZGRUDATI, GLAGOL
PRIRUBNI, PRIDJEV
TERAPEUT, IMENICA
ČETVRTAC, IMENICA
KOMIŠATI, GLAGOL
GRIZNUTI, GLAGOL
OTRČAVŠI, PRILOG
PISKARAN, PRIDJEV
PLAČANIN, IMENICA
IZLEGNEJ, IMENICA
OTVORENI, PRIDJEV
ZVONAREV, PRIDJEV
EFIKASNI, PRIDJEV
FELDSPAT, IMENICA
MEDENICA, IMENICA
HRVATSKA, IMENICA
KRASTAČA, IMENICA
KLISKOST, IMENICA
IZOSEIST, IMENICA
PRIKUČEN, PRIDJEV
ODJEPSTI, GLAGOL
FTALATNI, PRIDJEV
NEGLEDAN, PRIDJEV
VELŠANIN, IMENICA
BRUSILAC, IMENICA
RUBENINA, IMENICA
BJESNILO, IMENICA
KRASOPIS, IMENICA
NOJEVSKI, PRIDJEV
ZAVRTATI, GLAGOL
OSNOVIJI, PRIDJEV
KVRCANJE, IMENICA
PRIKAZBA, IMENICA
MAGNUSOV, PRIDJEV
RUKAVICA, IMENICA
PREVINUT, PRIDJEV
KLOBUČAR, IMENICA
MLIJEČNI, PRIDJEV
DEFINRAN, PRIDJEV
GDJEGDJE, PRILOG
GALEBLJI, PRIDJEV
KONFLIKT, IMENICA
NIZVODNO, PRILOG
NEPLETEN, PRIDJEV
BOCKANJE, IMENICA
JEBAČINA, IMENICA
BIČALICA, IMENICA
DUŠECITI, GLAGOL
GRANIČNI, PRIDJEV
PROVESTI, GLAGOL
KRIVOUST, IMENICA
UGLJENAR, IMENICA
URINARAN, PRIDJEV
UVOJNICA, IMENICA
OTPILJEN, PRIDJEV
CEROVSKI, PRIDJEV
NADAHNUT, PRIDJEV
PARADOKS, IMENICA
NAMOLITI, GLAGOL
AMAZONKA, IMENICA
ČIPKANJE, IMENICA
ODABRANI, PRIDJEV
DERIŠTAD, IMENICA
HELENIST, IMENICA
GNOJNICA, IMENICA
ZASTAREO, PRIDJEV
ČKJGFČSL, PRIDJEV
DREMOVAC, IMENICA
MUSAVOST, IMENICA
NEPISANI, PRIDJEV
ODVODITI, GLAGOL
TOPLOVOD, IMENICA
DANAŠNJI, PRIDJEV
MANDATAR, IMENICA
KRIMINAL, IMENICA
PRIJESNA, IMENICA
ŠKLJOCAJ, IMENICA
PLATFORM, IMENICA
ODOLJELO, IMENICA
REZALJKA, IMENICA
POGANSKI, PRIDJEV
RAZMOTAN, PRIDJEV
PODRUČJE, IMENICA
ĆELAVOST, IMENICA
SAUČENIK, IMENICA
JASTOGAR, IMENICA
POVALJEN, PRIDJEV
JELIČICA, IMENICA
OMACIVŠI, PRILOG
EKTOPIJA, IMENICA
ODBOJNIK, IMENICA
NACILJAN, PRIDJEV
FIJUČUĆI, PRIDJEV
PLAČANKA, IMENICA
RUNOLIST, IMENICA
RITMIČAK, PRIDJEV
OBLIČITI, GLAGOL
POKRKATI, GLAGOL
PRONICAV, PRIDJEV
SLOVAČKA, IMENICA
GNOJEVKA, IMENICA
ŠVIGNUTI, GLAGOL
KOPLJAČA, IMENICA
KOŠUTINA, IMENICA
OPAPUČEN, PRIDJEV
NEZNANKA, IMENICA
AMARILIS, IMENICA
EUROPSKI, PRIDJEV
SILNIČKI, PRIDJEV
MUZILICA, IMENICA
BRAŠNENO, PRILOG
KASAJUĆI, PRILOG
KUKAJUĆI, PRILOG
BRENČATI, GLAGOL
KOLUMBIJ, IMENICA
SLOGOVNI, PRIDJEV
POLAGATI, GLAGOL
NAJDRAŽA, IMENICA
MAKNUVŠI, PRILOG
SIROTIJA, IMENICA
OPLOVIJI, PRIDJEV
SLJEPILO, IMENICA
ISTUPATI, GLAGOL
PRIKAZNI, PRIDJEV
KINOIDNI, PRIDJEV
OGREPSTI, GLAGOL
PODREPNI, PRIDJEV
POKRETAČ, IMENICA
KOPIRATI, GLAGOL
ZALEDITI, GLAGOL
ČISTAČKI, PRIDJEV
DEVETATI, GLAGOL
SMIČNOST, IMENICA
GVANIDIN, IMENICA
GRIPOZAN, PRIDJEV
PRECIZNO, PRILOG
BUŠKAINA, IMENICA
LIMUZINA, IMENICA
SUKOBITI, GLAGOL
POLUTANT, IMENICA
LELUJATI, GLAGOL
DISTANCA, IMENICA
HIDROKSI, IMENICA
UKLJUČIV, PRIDJEV
MAGNEZIJ, IMENICA
INOVIRAN, PRIDJEV
PJENUŠAV, PRIDJEV
OLINJATI, GLAGOL
SVAŠTICE, IMENICA
POBRKATI, GLAGOL
JAGUAROV, PRIDJEV
IZAZVATI, GLAGOL
NETEGNUT, PRIDJEV
ČUDNOVAT, PRIDJEV
MARTINJE, IMENICA
NAZIRATI, GLAGOL
TAMNOŽUT, PRIDJEV
KRAJIŠKI, PRIDJEV
POLOVICA, IMENICA
NABAVITI, GLAGOL
DUŽINSKI, PRIDJEV
SPINODNI, PRIDJEV
NESPETAN, IMENICA
TERAKOTA, IMENICA
SERVISAN, PRIDJEV
PRITIŠĆE, IMENICA
UMOTAVŠI, PRILOG
CIJUKATI, GLAGOL
ZAPLITAN, PRIDJEV
CHATANJE, IMENICA
KOLČENJE, IMENICA
FENNECOV, PRIDJEV
JENSENOV, PRIDJEV
PLOVIDBA, IMENICA
RAZVRTAČ, IMENICA
TIOKETON, IMENICA
UZMUTITI, GLAGOL
KREŠTEĆI, PRILOG
NELOVEĆI, PRIDJEV
RASELITI, GLAGOL
FIBROGEN, IMENICA
HERAKLOV, PRIDJEV
PAŠNJAČA, IMENICA
HURLEROV, PRIDJEV
SLAGANJE, IMENICA
PIRKANJE, IMENICA
PRENOSAČ, PRIDJEV
KUPIRATI, IMENICA
KOŠARICA, IMENICA
GLUPJETI, GLAGOL
DIZURIJA, IMENICA
UGASIVŠI, PRILOG
