SPREMAN, PRIDJEV
SINKRON, PRIDJEV
PREBITI, GLAGOL
IZRUČEN, PRIDJEV
DIMLJIV, PRIDJEV
MUSTAFA, IMENICA
OBLAČIĆ, IMENICA
DOSEGLA, IMENICA
RUKOLOM, IMENICA
OGLODAN, PRIDJEV
GEORGIA, IMENICA
COKNUTI, IMENICA
KAŽIPUT, IMENICA
KONCEPT, IMENICA
SESTRIK, IMENICA
PLAĆATI, GLAGOL
JADNIJI, PRIDJEV
ZAGOREC, IMENICA
PONIZAN, PRIDJEV
IZVANJI, PRIDJEV
ZOROSKI, PRIDJEV
UDAVITI, GLAGOL
EDAMSKI, PRIDJEV
HROMOST, IMENICA
DŽIBUTI, IMENICA
ZABRANA, IMENICA
BRONČAN, PRIDJEV
LJEPOTA, IMENICA
SILUETA, IMENICA
LUDOSTA, PRILOG
KUTREĆI, PRIDJEV
SVJEĆAR, IMENICA
ZAVRTAČ, IMENICA
TROJNIK, IMENICA
POVESEO, PRIDJEV
REŽNJIĆ, IMENICA
BAKELIT, IMENICA
POPIJAĆ, IMENICA
SKLIZAČ, IMENICA
OTUPITI, GLAGOL
OPTIRAN, PRIDJEV
JAZAVCA, IMENICA
BEZMATI, GLAGOL
LJUPČAC, IMENICA
MLADOST, IMENICA
TOPLOTA, IMENICA
UVAŽITI, GLAGOL
RIKOŠET, IMENICA
RADIĆEV, PRIDJEV
OČAĐITI, IMENICA
ARLINDO, IMENICA
JUNAČIĆ, IMENICA
CCVISTA, IMENICA
PUNIVŠI, PRILOG
BACAKAN, PRIDJEV
RESILAC, IMENICA
INLEJNI, PRIDJEV
DEŠNJAK, IMENICA
SLUŽEĆI, PRIDJEV
OSMUNDA, IMENICA
RAZRATI, GLAGOL
EUROMET, IMENICA
VITRIOL, IMENICA
MARŠITI, GLAGOL
FUTROLA, IMENICA
CEROVAC, IMENICA
DOSUVŠI, PRILOG
STRIČAK, IMENICA
ODREDIV, PRIDJEV
UVIRATI, GLAGOL
KARCINA, IMENICA
MICELIJ, IMENICA
DRINSKI, PRIDJEV
JAMAČNO, PRILOG
SPLOŠTA, IMENICA
SAHNUĆI, PRILOG
KRIZMAN, PRIDJEV
POMETEN, PRIDJEV
NAPUTAK, IMENICA
NOVOSEL, IMENICA
SUVISLI, PRIDJEV
VOLUMEN, IMENICA
UREĐENI, PRIDJEV
PRERADA, IMENICA
ZUBALEM, IMENICA
ČEPUŠAN, PRIDJEV
ATATURK, IMENICA
POMIREN, PRIDJEV
MATRONA, IMENICA
OKUPITI, GLAGOL
STEČAJA, IMENICA
MARINKA, IMENICA
NAŠARAN, PRIDJEV
IRANSKI, PRIDJEV
KRUTINA, IMENICA
NAJTIŠI, PRIDJEV
SRELAST, PRIDJEV
TURNEJA, IMENICA
MLADICA, IMENICA
ZEMIČAK, PRIDJEV
DOPISNI, PRIDJEV
ALBANKA, IMENICA
KMETSKI, PRIDJEV
PTUJSKI, PRIDJEV
LJUTNJI, PRIDJEV
GVOZDAN, IMENICA
PAKIRNI, PRIDJEV
HODULJE, IMENICA
GEOGRAF, IMENICA
BETAINI, IMENICA
VOLUMNI, PRIDJEV
ZBILJAN, PRIDJEV
UPPSALA, IMENICA
BRZONOG, PRIDJEV
NAJGRĐA, IMENICA
ŠIPARAC, IMENICA
OPSEŽNO, PRILOG
BEČLIJI, IMENICA
SLIVNIK, IMENICA
JEFTINO, PRILOG
OGOLJEN, PRIDJEV
OBRATNO, PRILOG
SIPLJIV, PRIDJEV
NADASVE, PRILOG
SUZENJE, IMENICA
ZAKIDAN, PRIDJEV
PRŽENJE, IMENICA
MIRNOĆA, IMENICA
USELJIV, PRIDJEV
VJEŠALA, IMENICA
ZELANDA, IMENICA
HADRVER, IMENICA
POLETAN, PRIDJEV
VRČANJE, IMENICA
NARUČJE, IMENICA
VESLATI, GLAGOL
STRUŠEN, PRIDJEV
FISTULA, IMENICA
ČAJEVAC, IMENICA
VICKERS, IMENICA
PRESVET, PRIDJEV
MOKRAĆA, IMENICA
VRHUNAC, IMENICA
UZJAHAN, PRIDJEV
IVANITI, GLAGOL
BEZGLAV, PRIDJEV
DOŽIVIO, PRIDJEV
PLEŠUĆI, PRIDJEV
KOLUMBO, IMENICA
ŠTRUKAO, PRIDJEV
ZAPAREN, PRIDJEV
JARAČKI, PRIDJEV
SERVLET, IMENICA
LAKTOZA, IMENICA
MOLINAT, IMENICA
USELJEN, PRIDJEV
BENZOIN, IMENICA
SUZBITI, PRIDJEV
ONKOLOG, IMENICA
POVISOK, PRIDJEV
NAVIKLI, PRIDJEV
SUVOZAČ, IMENICA
VIKAVŠI, PRILOG
PANJAČA, IMENICA
TERGLAV, PRIDJEV
RAJCATI, GLAGOL
GOSIPOL, IMENICA
GARMOND, IMENICA
DOJENČE, IMENICA
GALIJAŠ, IMENICA
OTKUPNI, PRIDJEV
SOKOLAN, IMENICA
NETKANI, PRIDJEV
SPIRINA, IMENICA
ATLANTA, IMENICA
DORAĐEN, PRIDJEV
UGUŠĆEN, PRIDJEV
BANOVAC, IMENICA
MCLAREN, PRIDJEV
MIGNUTI, GLAGOL
ODOZADA, IMENICA
PROUČEN, PRIDJEV
MUČNJAK, IMENICA
VIKNUTI, GLAGOL
JANIČIN, PRIDJEV
PREPOŠT, IMENICA
NEJASNO, PRILOG
LUNJALO, IMENICA
VRBASAK, PRIDJEV
ŠPIKATI, GLAGOL
ZALIZAN, PRIDJEV
DERNEKI, PRIDJEV
PLANINA, IMENICA
URANJEN, PRIDJEV
DANIČIĆ, IMENICA
SIĆANIN, IMENICA
PADIŠAK, IMENICA
POKLATI, GLAGOL
NAGINJA, IMENICA
UKRATKO, PRILOG
ANĐELOV, PRIDJEV
MAŽURAN, IMENICA
VALJANO, PRILOG
UGURATI, GLAGOL
ZATEZAN, PRIDJEV
NADODAN, PRIDJEV
ULOVIJI, PRIDJEV
TJEDNIK, IMENICA
UMJEŠAČ, IMENICA
BLENUTI, GLAGOL
FILTRUM, IMENICA
POTOMAK, IMENICA
BUĆNICA, IMENICA
NABRATI, GLAGOL
SALOMON, IMENICA
MALARIA, IMENICA
CVILITI, GLAGOL
OTKOVAC, IMENICA
OSPOREN, PRIDJEV
ŽELIMIR, IMENICA
AEROFON, IMENICA
BIOTEST, IMENICA
KSENIJA, IMENICA
UKROĆEN, PRIDJEV
OSNOVNI, PRIDJEV
BEŠTIJA, IMENICA
EULEROV, PRIDJEV
NABAVKA, IMENICA
GANJATI, GLAGOL
HVALEĆI, PRIDJEV
POVENUT, PRIDJEV
UGODNIK, IMENICA
NASTAVA, IMENICA
JEZERCE, IMENICA
KRITIKA, IMENICA
BANUVŠI, PRILOG
CVJETAN, PRIDJEV
LOZNICA, IMENICA
BIOKOVO, IMENICA
BILIJAR, IMENICA
DECENIJ, IMENICA
PODAGRA, IMENICA
ANTIŠOK, IMENICA
DIOKSID, IMENICA
NADTLAK, IMENICA
OSOVINA, IMENICA
ŽUČNJAK, IMENICA
PORESKI, PRIDJEV
SPAHIJA, IMENICA
ĆASKATI, GLAGOL
NAGLIJE, PRILOG
ŽLJEBIĆ, IMENICA
PSICATI, GLAGOL
TITRICA, IMENICA
UZOREMA, IMENICA
KOSINJA, IMENICA
JEDROST, IMENICA
BLUDNJI, PRIDJEV
RAVNALO, IMENICA
ANAGRAM, IMENICA
UPUZATI, GLAGOL
PERUŠKI, PRIDJEV
VEDRIJI, PRIDJEV
ZRAKAST, PRIDJEV
ZAREDOM, PRILOG
TROPREG, IMENICA
USMRĐEN, PRIDJEV
NATRULO, PRILOG
PRIPJEV, IMENICA
OŠTRILO, IMENICA
LIPLJEN, IMENICA
ZAORITI, GLAGOL
PRILAŽA, IMENICA
OKTAVNI, IMENICA
PRIUŠAK, IMENICA
GRICKAN, PRIDJEV
SAVINUT, PRIDJEV
POSEBNO, PRILOG
NEPISAN, PRIDJEV
TIOLATI, IMENICA
KADRITI, GLAGOL
GORČITI, PRIDJEV
SLATKOM, IMENICA
KUTRILO, IMENICA
IBRAHIM, IMENICA
ZAZIDAN, PRIDJEV
OTUĐITI, GLAGOL
KORISNO, PRILOG
SOKAČKI, PRIDJEV
POLAZNI, PRIDJEV
SKUPLJI, PRIDJEV
UZDUŽNI, PRIDJEV
NAPOLJU, PRILOG
KAPTAŽA, IMENICA
PRIČINA, IMENICA
DINSTAN, PRIDJEV
REĐENJI, PRIDJEV
ČLANICA, IMENICA
IZDAVAČ, IMENICA
ŽUĐENJE, IMENICA
DIOKTIL, IMENICA
RABATNO, PRILOG
KIHANJE, IMENICA
SARTIJE, IMENICA
OPRESTI, GLAGOL
MAZIVNI, PRIDJEV
VJETREN, PRIDJEV
DUPENCE, IMENICA
RAZVRAT, IMENICA
DRLJATI, GLAGOL
ZALOGAJ, IMENICA
BATINAŠ, IMENICA
ODRŽIVO, PRILOG
POJASAN, PRIDJEV
UDOLINA, IMENICA
FAŽANKA, IMENICA
FRANKOV, PRIDJEV
NJAKATI, GLAGOL
POLEGLI, PRIDJEV
METLIKA, IMENICA
PREMISA, IMENICA
JUDITIN, IMENICA
MIRISTI, GLAGOL
OLIVIER, IMENICA
KLONEĆI, PRILOG
USISANI, PRIDJEV
PASUNCE, IMENICA
OKNAŠCE, IMENICA
SUAUTOR, IMENICA
UPORABA, IMENICA
TRPIMIR, IMENICA
NAGOREN, PRIDJEV
POTPORE, IMENICA
GRABITI, GLAGOL
KUČIŠTE, IMENICA
UPIRATI, GLAGOL
ANUITET, IMENICA
PREPOKA, IMENICA
FILMSKI, PRIDJEV
STRUČAN, PRIDJEV
PODTLAK, IMENICA
DJELATI, GLAGOL
ZATUCNI, PRIDJEV
DOPIRAN, PRIDJEV
OJKONIM, IMENICA
RAZASTI, GLAGOL
PUŽASTI, PRIDJEV
HUJANJE, IMENICA
ZAPEĆAK, IMENICA
DRONJAC, IMENICA
PODERIV, PRIDJEV
POKORNO, PRILOG
KAMERUN, IMENICA
UNOVČEN, PRIDJEV
BASTARD, IMENICA
LOŽAČKI, PRIDJEV
SLANIJI, PRIDJEV
MISTIKA, IMENICA
KOTAREV, PRIDJEV
PREDUĆI, PRIDJEV
ZAOSTAN, PRIDJEV
MASTIKA, IMENICA
BOSILJE, IMENICA
POZIVAČ, IMENICA
BISERKA, IMENICA
NAŠAVŠI, PRILOG
PORAŽEN, PRIDJEV
CVETNIĆ, IMENICA
BIBANJE, IMENICA
REBARAC, IMENICA
NATEZAČ, IMENICA
IZVRDAN, PRIDJEV
OKOLIŠA, IMENICA
MUVANJE, IMENICA
IMENIKA, IMENICA
KASETNI, PRIDJEV
TITANIJ, IMENICA
NAČUVŠI, PRILOG
ALJASKI, PRIDJEV
VALUTAN, PRIDJEV
ČAJNICA, IMENICA
NEHRVAT, IMENICA
MJERENI, PRIDJEV
LOBANJE, IMENICA
PROSITI, GLAGOL
SVINUTI, GLAGOL
BUBREĆI, PRILOG
DOSEZAN, PRIDJEV
GROBLJI, PRIDJEV
IZOKRON, PRIDJEV
TONZILA, IMENICA
CITATAN, PRIDJEV
BRODIĆI, GLAGOL
KOMBINE, IMENICA
KATARBA, IMENICA
KASNITI, GLAGOL
LAIKATI, GLAGOL
FALIČKI, PRIDJEV
BROJITI, GLAGOL
DOTURAN, PRIDJEV
ZAUZDAN, PRIDJEV
KLICITI, GLAGOL
DRLJAČA, IMENICA
KLICIAN, PRIDJEV
DOJDUĆI, PRIDJEV
HOBLATI, GLAGOL
PEČENKA, IMENICA
KATSUMI, IMENICA
MACCABI, IMENICA
NANRATI, GLAGOL
PAPRIKE, IMENICA
OPALJEN, PRIDJEV
RAŠČLAN, PRIDJEV
LEGATAR, IMENICA
TITANIK, IMENICA
UGARSKI, PRIDJEV
KLJUNOV, PRIDJEV
SENJSKI, PRIDJEV
JADANJE, IMENICA
GLINSKI, PRIDJEV
RANJIVO, PRIDJEV
KOENZIM, IMENICA
KARPATA, IMENICA
BRTVENI, PRIDJEV
KLOPATI, GLAGOL
METRAŽA, IMENICA
SLABITI, GLAGOL
UMAKATI, GLAGOL
KLIZATI, GLAGOL
PRSTAST, PRIDJEV
KRIJUĆI, GLAGOL
KRIVICA, IMENICA
GERILAC, IMENICA
ŠMINKER, IMENICA
REBRENI, PRIDJEV
VENTURI, IMENICA
DROPICA, IMENICA
ZASEBNI, PRIDJEV
KOCKATI, GLAGOL
IZNIJET, PRIDJEV
EPOLETE, IMENICA
ZAPUTKA, IMENICA
PLASMAN, IMENICA
OTRCANO, PRILOG
OČITATI, GLAGOL
PROŽNJA, IMENICA
KASNEĆI, PRILOG
TERAVAT, IMENICA
CJENKAN, PRIDJEV
LIONSKI, PRIDJEV
GURANJE, IMENICA
KLASNIĆ, IMENICA
ALBERTA, IMENICA
VRBASKI, PRIDJEV
GERILKA, IMENICA
KUBANKA, IMENICA
GNUSOBA, IMENICA
VIDLJIV, PRIDJEV
OFIRSKI, PRIDJEV
UGODITI, GLAGOL
GOLUBIĆ, IMENICA
PETLJAN, PRIDJEV
CMAČUĆI, PRIDJEV
BALONER, IMENICA
ALEPSKI, PRIDJEV
SKRŠITI, GLAGOL
PJEGAVI, PRIDJEV
CRPENJE, IMENICA
DROBINA, IMENICA
UPREDEM, IMENICA
CAREFUL, PRIDJEV
HITROST, IMENICA
ODMOTAN, PRIDJEV
JAMČITI, GLAGOL
ALEKSEJ, IMENICA
OPILJAK, IMENICA
SFEROID, IMENICA
TRAMITI, GLAGOL
SREBREN, PRIDJEV
NEKRSTA, IMENICA
IZOSTAN, PRIDJEV
VIOLIST, IMENICA
MAJKICA, IMENICA
UTIČUĆI, PRILOG
SAGNJIO, PRIDJEV
OSTRIGA, IMENICA
POLAZNO, PRILOG
ROMPSKI, PRIDJEV
ERATHIA, IMENICA
PENTIUM, IMENICA
SIĆUŠAN, PRIDJEV
MILIJUN, IMENICA
MEDRESA, IMENICA
OSKRNAV, PRIDJEV
RECEPIS, IMENICA
MUHOJED, IMENICA
MATULJI, IMENICA
ZAČMALI, PRIDJEV
KAĐENJE, IMENICA
JUŽNJAK, IMENICA
PERIVOJ, IMENICA
IZMOREN, PRIDJEV
UMIRENI, PRIDJEV
BUSENJE, IMENICA
ODAPETI, GLAGOL
TAMNJEN, PRIDJEV
BIŽANJE, IMENICA
UGINUTI, GLAGOL
KOKOSOV, PRIDJEV
FUKANJE, IMENICA
OTPARNI, PRIDJEV
ČESLIKA, IMENICA
ZAVEŽEJ, IMENICA
KONJSKI, PRIDJEV
IZOPĆEN, PRIDJEV
KVINTAL, IMENICA
ZAKOČNI, PRIDJEV
BARIŠIĆ, IMENICA
KLADIVA, IMENICA
SOLDATI, GLAGOL
FOREIGN, PRIDJEV
IZGORIV, PRIDJEV
OPRAVŠI, PRILOG
SKAKATI, GLAGOL
UTERUSA, IMENICA
KUGLANE, IMENICA
SERAFIN, IMENICA
NIŠTICA, IMENICA
ORLANDO, IMENICA
UČITANI, PRIDJEV
UBIJATI, GLAGOL
BEHARAN, PRIDJEV
BIJELAC, IMENICA
NAČEVŠI, PRILOG
UROTNIK, IMENICA
ŠIKNUTI, GLAGOL
ZLURADI, PRIDJEV
ZAZELEN, PRIDJEV
GRKINJA, IMENICA
KNJIŠKI, PRIDJEV
APEKSNI, PRIDJEV
NALIČEN, PRIDJEV
TIHANIN, IMENICA
JECAJAN, PRIDJEV
PERISAK, IMENICA
MINĐUŠA, IMENICA
TRICEPS, IMENICA
USNUVŠI, PRILOG
SVENUTI, GLAGOL
SAČUVAN, PRIDJEV
NENAČET, PRIDJEV
JADANJI, PRIDJEV
IZVIJAN, PRIDJEV
ZBORITI, GLAGOL
AUGEROV, PRIDJEV
ZBRINUT, PRIDJEV
JURIČIN, PRIDJEV
STOIČKI, PRIDJEV
OPOZVAN, PRIDJEV
INTEGRA, IMENICA
ZAVIDAN, PRIDJEV
ORGANDI, IMENICA
BILIKUM, IMENICA
GOLOGUZ, PRIDJEV
PORODAN, PRIDJEV
AMALGAM, IMENICA
KLIJENT, IMENICA
SKOBITI, GLAGOL
LJUBICA, IMENICA
NAJMITI, GLAGOL
MEANDAR, IMENICA
MAZNIJI, PRIDJEV
VOŠTITI, GLAGOL
DUGORUK, PRIDJEV
ZDEBSKI, PRIDJEV
UPRTITI, GLAGOL
PODIZAN, PRIDJEV
REOBAZA, IMENICA
SMOTANI, PRIDJEV
KUPOVAL, IMENICA
SAPIENS, IMENICA
KOGAGOD, IMENICA
JEFTINI, PRIDJEV
TANUŠAN, PRIDJEV
DOBIVEN, PRIDJEV
PRONAĆI, GLAGOL
KOLOBUS, IMENICA
ANORTIT, IMENICA
SISASTI, PRIDJEV
KUCNUTI, GLAGOL
INERTAN, PRIDJEV
IZVRTAČ, IMENICA
HOMOPUS, IMENICA
TUNISKI, PRIDJEV
UČENICA, IMENICA
KNEZITI, GLAGOL
KAPISLA, IMENICA
PRATITI, GLAGOL
DUŠIČAN, PRIDJEV
GERANIJ, IMENICA
OKAČITI, GLAGOL
STLAČEN, PRIDJEV
SPORTAŠ, IMENICA
POLUČEN, PRIDJEV
MIRNIJI, PRIDJEV
SKRŠENO, PRILOG
CRTKATI, GLAGOL
RAZLIKA, IMENICA
ROBERTA, IMENICA
BANOVAC, IMENICA
BEZOČNO, PRILOG
NEVJEŽI, PRIDJEV
ŠPAROGA, IMENICA
MINORAN, PRIDJEV
MEZITIL, IMENICA
PROTEZE, IMENICA
RAVNIJE, PRILOG
JULIJAN, IMENICA
VEPRINA, IMENICA
BURCHOV, PRIDJEV
GUNGULA, IMENICA
ZADRMAN, PRIDJEV
DOPASTI, GLAGOL
GORDIJI, PRIDJEV
POLOJKA, IMENICA
TUNOLOV, IMENICA
ONANIJA, IMENICA
OČETKAN, PRIDJEV
ENGLAND, IMENICA
JAGLOST, IMENICA
GRCANJE, IMENICA
REŽANJE, IMENICA
POBOŽAN, PRIDJEV
PANIČNO, PRILOG
HODŽINA, IMENICA
ULUPITI, GLAGOL
NULARNI, PRIDJEV
HRĐANJE, IMENICA
JACKSON, IMENICA
SULTONI, IMENICA
MATRIKS, IMENICA
SKLOPKA, IMENICA
UJAČITI, GLAGOL
HADŽIJA, IMENICA
DELIRIJ, IMENICA
BJEŽATI, GLAGOL
JEDRINA, IMENICA
ŠTONJAC, IMENICA
BAZIČNI, PRIDJEV
UDARENI, PRIDJEV
KARIJES, IMENICA
KLIZALO, IMENICA
ŠARAFEM, IMENICA
TIKANJE, IMENICA
LECITIN, IMENICA
NAJDUŽI, PRIDJEV
MOREŠKA, PRIDJEV
BRNAŠKI, PRIDJEV
GIGAVAT, IMENICA
LOŽIŠTE, IMENICA
ŽESTOKO, IMENICA
BOSCHOV, PRIDJEV
IZBOREN, PRIDJEV
STIPSAN, IMENICA
OPISIVI, PRIDJEV
HARANGA, IMENICA
TUNELIĆ, IMENICA
SMATRAN, PRIDJEV
OPSTATI, GLAGOL
PREUZAK, PRIDJEV
LORENAC, IMENICA
BARITON, IMENICA
KOŠTATI, GLAGOL
ŠTAVALJ, IMENICA
KOLUMNA, IMENICA
KOŠARKA, IMENICA
KRULITI, GLAGOL
UKOLIKO, VEZNIK
ZORNOST, IMENICA
ALFALFA, IMENICA
PREDITI, GLAGOL
IZBJEĆI, GLAGOL
GINSENG, IMENICA
ODLUČEN, PRIDJEV
BIHAĆKA, IMENICA
CIMETOV, PRIDJEV
ZAKAPAN, PRIDJEV
ĐURĐICA, IMENICA
KANALNI, PRIDJEV
VIJENAC, IMENICA
GRCNUTI, GLAGOL
NEVAŽAN, PRIDJEV
POLONIJ, IMENICA
ŠETKATI, IMENICA
OPUŠTEN, PRIDJEV
SPUSTAŠ, IMENICA
UMAKNUT, PRIDJEV
CROATIA, IMENICA
PRPOŠNI, PRIDJEV
BLEKAST, PRIDJEV
ETNONIM, IMENICA
NAKAZAN, PRIDJEV
POSLIJE, PRILOG
ODRAĐEN, PRIDJEV
ZADUŽEN, PRIDJEV
JOSIPOV, PRIDJEV
UPUŠTAN, PRIDJEV
NABOSTI, GLAGOL
ŠIKTATI, GLAGOL
FASCIJA, IMENICA
UZVODAN, PRIDJEV
ZAPOČET, PRIDJEV
ZAPUCAN, PRIDJEV
OTRGNUT, PRIDJEV
ČUNJAST, PRIDJEV
GNOCCHI, IMENICA
HIALINE, IMENICA
RADIJUS, IMENICA
UHODITI, GLAGOL
SVISVET, IMENICA
UPLAKAN, PRIDJEV
ODSUDNO, PRILOG
OGORINA, IMENICA
BRTVILO, IMENICA
RVAJUĆI, PRILOG
MENZURA, IMENICA
POGAĐAČ, IMENICA
SKOPČAN, PRIDJEV
KIMANJE, IMENICA
UČESNIK, IMENICA
UMNIKOV, PRIDJEV
PRONIĆI, GLAGOL
MARLJIV, PRIDJEV
SLUŽENO, PRILOG
IZVEDIV, PRIDJEV
SATRETI, GLAGOL
ODVUČEN, PRIDJEV
UMETATI, GLAGOL
GORČINA, IMENICA
SPUZNUT, PRIDJEV
OLTARAN, PRIDJEV
DEKADNI, PRIDJEV
PODZMNI, PRIDJEV
CENDRAV, PRIDJEV
DOMAZET, IMENICA
OJAČALI, PRIDJEV
DOMINIK, IMENICA
PERMSKI, PRIDJEV
GAZIŠTE, IMENICA
NOTIRAN, PRIDJEV
ZDIPITI, GLAGOL
BEREKIN, IMENICA
RUTENIJ, IMENICA
UPALJIV, PRIDJEV
POGNATI, GLAGOL
BORNEOL, IMENICA
IZLIVEN, PRIDJEV
POTAJNO, PRILOG
PINGVIN, IMENICA
ŠIŠTATI, GLAGOL
JUDITIN, PRIDJEV
PAPRATI, GLAGOL
DRAGATI, GLAGOL
JELKICA, IMENICA
LINJATI, GLAGOL
TADANJI, PRIDJEV
POŠTENO, PRILOG
GNOJEĆI, PRILOG
TUTNJAV, PRIDJEV
BOBOVKA, IMENICA
KOVRČAV, PRIDJEV
ARMIRNI, PRIDJEV
AZOVSKI, PRIDJEV
CHINOOK, PRIDJEV
ERUPTIV, IMENICA
GRUPICA, IMENICA
GORANKA, IMENICA
OTALITI, IMENICA
SPOROST, IMENICA
REGALNI, PRIDJEV
PRABABA, IMENICA
PRERANI, PRIDJEV
TEREĆEN, PRIDJEV
PUCKATI, GLAGOL
ANGOLKA, IMENICA
NEDJELO, IMENICA
STIHIJI, IMENICA
KOMINAC, IMENICA
PUNJAČI, PRIDJEV
ZGROŽEN, PRIDJEV
PRIMAČA, IMENICA
TUNIŠKI, PRIDJEV
